 ,CALENDARIO EDITORIALE FACEBOOK & INSTAGRAM,,,,,,,,,,,
,,,, ,,,,,,,,
,,1,2,3,4,5,6,PIANO EDITORIALE,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,29,30,31,1,2,3,4,,,TOPICS,,
Topic,1 - Calzature UOMO,1 - Calzature DONNA,8 - Varie ,,,8 - SALDI ,,,,1 - Calzature (uomo / donna / bambino),,
Foto,,,GRAFICA,,,,,,,2 - Accessori (WM),,
Contenuto,"Polacco Uomo
Lumberjack 102229126","STIVALETTO CON PELO 3

Stivaletto Con Pelo Donna Le Meggetto 500-2-SB",RECAP 2025,,,SALDI,,,,3 - Borse & Zaini,,
Social,IG + FB,IG REEL + FB REEL,IG REEL + FB REEL,,,IG REEL + FB REEL,,,,4 - Abbigliamento,,
Note,Ore 13.00,Ore 18.00,Ore 12.00,,,Ore 10.00,,,,5 - Altri prodotti,,
,5,6,7,8,9,10,11,,,6 - Promo - Saldi ,,
Topic,1 - Calzature DONNA,1 - Calzature DONNA,1 - Calzature DONNA,,2 - Accessori (WM),,,,,7 - Store,,
Foto,,,,,,,,,,8 - Varie ,,
Contenuto,"Stivaletto Donna
Le Meggetto 5151","BUONI PROPOSITI 2026

Ginnastica Lacci Donna Puma 394252
Ginnastica Lacci Donna New Balance Garoé
Ginnastica Lacci Donna Skechers 150370","COME METTERE STIVALI

Stivale Donna Marina Torres A2767-H6571
Stivale Donna I Love Laura H12836-34
Stivale Donna La Flor RQF3
Stivale Donna Keys K11671",,"Borsa Donna
Alex Max BO159",,,,,9 - Rubrica ,,
Social,IG + FB,IG REEL + FB REEL,IG REEL + FB REEL,,IG + FB,,,,,,,
Note,Ore 19.00,Ore 12.00,Ore 13.00,,Ore 13.00,,,,,,,
,12,13,14,15,16,17,18,,,,,
,12,13,14,15,16,17,18,,,,,
Topic,,1 - Calzature UOMO,1 - Calzature DONNA,1 - Calzature DONNA,1 - Calzature DONNA,,,,,,,
Foto,,,,,,,,, ,,,
Contenuto,,"POLACCO UOMO MOOR

Polacco Uomo Moor 128510","Stivale Donna
I Love Laura 1614","1 MODELLO 3 COLORI

Anfibio Donna Gem’s 25837PE
Anfibio Donna Gem’s 25043LM",Tublis UOMO,,,,,,,
Social,,IG REEL + FB REEL,IG + FB,IG REEL + FB REEL,IG + FB,,,,,,,
Note,,Ore 12.00,Ore 18.00,Ore 19.00,ore 13.00,,,,,,,
,19,20,21,22,23,24,25,,,,,
Topic,,1 - Calzature DONNA,1 - Calzature UOMO,,1 - Calzature DONNA,6 - Promo,,,,,,
Foto,,,,,,,,,,,,
Contenuto,,"3 ANFIBI PREFERITI

Anfibio Donna Levis VPHI0113S
Anfibio Donna Keep Calm 24239
Anfibio Donna Bagatt D31AO1345500",Anfibio Uomo Bugatti 3318373A4000,,"STIVALETTO COMODO E CALDO

Lara shoes 14624032
Lara shoes 14623719",Promo San Valentino,, ,,,,
Social,,IG REEL + FB REEL,IG + FB,,IG REEL + FB REEL,IG + FB,,,,,,
Note,,ore 13.00,ore 17.00 ,,ore 12.00 ,,,,,,,
,26,27,28,29,30,31,1,,,,,
Topic,,,,,,,,,,,,
Foto,,,,,,,, , , , , 
Contenuto,,,,,,,,,,,,
Social,,,,,,,,,,,,
Note,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,, ,,,
