,,,,,,,,,,,,
,,CALENDARIO EDITORIALE SOCIAL Equinoxe,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Lunedì,Martedì,Mercoledì,Giovedì,Venerdì,Sabato,Domenica,,,,,TOPIC
,29,30,1,2,3,4,5,,,,,1 - Barche disponibili
Eventi,,,,,,,,,,,,2 - Lifestyle
Topic,,2 - Lifestyle,"4 - Destinazioni
da sogno",,7 - Team,,,,,,,"3 - Attività e 
servizi a bordo"
Foto ,,,,,,,,,,,,"4 - Destinazioni
da sogno"
Contenuto,,Imladris,"Indonesia: tutto quello che dovresti sapere per la vacanza in charter


Alila Purnama + (Prana)",,Chi siamo - foto del team,,,,,,,5 - Sanlorenzo
Stories,,,,,Pacchetto 4: focus momenti emozionanti e ringraziamenti + spezzoni di video,,,,,,,
Linkedin,,,,,LinkedIn Post,,,,,,,6 - Vendita/Acquisizione
Status,,,,,,,,,,,,
Social,,IG + FB,IG + FB,,IG + FB,,,,,,,7 - Team
Status,,PROGRAMMATO,PROGRAMMATO,,PROGRAMMATO,,,,,,,8 - Novità
Note,,Foto,grafica,,,,,,,,,9 - Yacht Show
,6,7,8,9,10,11,12,,,,,10 - Storie di clienti
Eventi,,,,,,,,,,,,
Topic,,"3 - Attività e 
servizi a bordo",,2 - Lifestyle,1 - Barche disponibili,,,,,,,
Foto ,,,,,,,,,,,,
Contenuto,,Cibo + cucina + tavolo NAMA,,Mirovia - esterni,"Prsentazione 3 ""nuove"" barche: Daiquiri, Prana, Bleu de nimes",,,,,,,
Stories,,,,,,,,,,,,
Linkedin,,,,,Post LinkedIn,,,,,,,
Status,,,,,,,,,,,,
Social,,IG + FB,,IG + FB,IG + FB,,,,,,,
Status,,BOZZA PRONTA,,BOZZA PRONTA,BOZZA PRONTA,,,,,,,
Note,,Foto,,Foto,MANCANO DETTAGLI 2 BARCHE,,,,,,,
,13,14,15,16,17,18,19,,,,,
Eventi,,,,POST IN COLLABORAZIONE,,,,,,,,
Topic,,5 - Sanlorenzo,,1 - Barche disponibili,"3 - Attività e 
servizi a bordo",,,,,,,
Foto,,,,,,,,,,,,"No contenuti social su:
MOONSHOT
NOOR II
ON TIME
SEVEN
ASTRIMARE "
Contenuto,,Penguins,,Prsentazione Satori,Valori Equinoxe,,,,,,,
Stories,,,,,,,,,,,,
Linkedin,,,,Post LinkedIn,Post LinkedIn,,,,,,,
Status,,BOZZA PRONTA,,BOZZA PRONTA,BOZZA PRONTA,,,,,,,
Social,,IG + FB REEL,,IG + FB,IG + FB,,,,,,,
Status,,,,,,,,,,,,https://www.instagram.com/reel/DVpyHdAhdqV/
Note,,,,MANCANO DETTAGLI BARCA,,,,,,,,https://www.instagram.com/reel/DXV0k2oBNac/
,20,21,22,23,24,25,26,,,,,
Eventi,,,,,,,,,,,,
Topic,,2 - Lifestyle,,"4 - Destinazioni
da sogno",1 - Barche disponibili,,,,,,,1 - Barche disponibili
Foto ,,,,,,,,,,,,
Contenuto,,Daiquiri,,Itinerario - Sicilia + Sofia,"Presentazione selene, Xasteria",,,,,,,Interni Imladris
Stories,,,,,,,,,,,,
Linkedin,,,,Post LinkedIn,Post LinkedIn,,,,,,,
Status,,,,,,,,,,,,
Social,,IG + FB,,IG + FB,IG + FB,,,,,,,IG + FB
Status,,BOZZA PRONTA,,BOZZA PRONTA,,,,,,,,
Note,,,,,MANCANO DETTAGLI 2 BARCHE,,,,,,,
,27,28,29,30,31,1,2,,,,,
Eventi,,,,,,,,,,,,
Topic,,"4 - Destinazioni
da sogno",,"3 - Attività e 
servizi a bordo",2 - Lifestyle,,,,,,,
Foto ,,,,,,,,,,,,
Contenuto,,Costa azzurra: tutto quello che dovresti sapere per la vacanza in charter,,"Trova la barca giusta per te - Grecia

Daiquiri
Amante
Serenissima III ",Serenissima III,,,,,,,
Stories,,,,,,,,,,,,
Linkedin,,,,Post LinkedIn,,,,,,,,
Status,,BOZZA PRONTA,,BOZZA PRONTA,BOZZA PRONTA,,,,,,,
Social,,IG + FB,,IG + FB,IG + FB,,,,,,,
Status,,,,,,,,,,,,
Note,,,,,,,,,,,,
